lad24cd,la_name,pfa_name,pfa_name_safelives,population_weight,source
E08000007,Stockport MBC,Greater Manchester,Greater Manchester,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000008,Tameside,Greater Manchester,Greater Manchester,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000009,Trafford,Greater Manchester,Greater Manchester,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000010,Wigan MBC,Greater Manchester,Greater Manchester,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000011,Knowsley,Merseyside,Merseyside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000012,Liverpool,Merseyside,Merseyside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000013,St Helens MBC,Merseyside,Merseyside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000014,Sefton,Merseyside,Merseyside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000015,Wirral,Merseyside,Merseyside,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000016,Barnsley,South Yorkshire,South Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000017,Doncaster,South Yorkshire,South Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000018,Rotherham,South Yorkshire,South Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000019,Sheffield,South Yorkshire,South Yorkshire,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000021,Newcastle upon Tyne,Northumbria,Northumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000022,North Tyneside,Northumbria,Northumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000023,South Tyneside,Northumbria,Northumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000024,Sunderland,Northumbria,Northumbria,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000025,Birmingham,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000026,Coventry,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000027,Dudley,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000028,Sandwell,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000029,Solihull,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
E08000030,Walsall,West Midlands,West Midlands,1.0,ONS PFA boundaries 2024 - LAD24CD basis
