lad24cd,reporting_year,households_on_register,jointly_managed_register,reasonable_preference,source
E06000009,2016,5049,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000009,2017,5024,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000009,2018,5954,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000009,2019,6377,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000009,2020,7740,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000009,2021,5502,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000009,2022,6439,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000009,2023,7635,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E06000009,2024,8893,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E06000009,2025,11844,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000033,2015,1436,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000033,2016,1624,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000033,2017,1093,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000033,2018,1205,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000033,2019,1408,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000033,2020,1670,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000033,2021,1519,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000033,2022,1669,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000033,2023,2094,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000033,2024,2549,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000033,2025,398,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E08000001,2015,21003,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E08000001,2016,23283,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E08000001,2017,25574,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E08000001,2018,31788,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E08000001,2019,24382,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E08000001,2020,22159,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E08000001,2021,9042,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E08000001,2022,14543,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E08000001,2023,19118,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E08000001,2024,22467,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E08000001,2025,21479,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E07000136,2015,2268,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E07000136,2016,2399,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E07000136,2017,1650,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E07000136,2018,1814,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E07000136,2019,2328,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E07000136,2020,2421,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E07000136,2021,3024,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E07000136,2022,880,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E07000136,2023,1174,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E07000136,2024,1176,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E07000136,2025,1177,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000058,2015,3782,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000058,2016,4481,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000058,2017,3511,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000058,2018,4379,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000058,2019,4539,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
E06000058,2020,5148,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2020"
E06000058,2021,4672,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2021"
E06000058,2022,1180,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2022"
E06000058,2023,2151,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2023"
E06000058,2024,2762,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2024"
E06000058,2025,3144,,,"MHCLG LAHS Section C, year ending 31 March 2025"
E06000036,2015,2282,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2015"
E06000036,2016,2260,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2016"
E06000036,2017,1844,TRUE,,"MHCLG LAHS Section C, year ending 31 March 2017"
E06000036,2018,1562,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2018"
E06000036,2019,1501,FALSE,,"MHCLG LAHS Section C, year ending 31 March 2019"
